raw_location,location_id,location_name
TWIN PEAKS HOSPITAL,15,HOSPITAL
TWIN PEAKS MORGUE,25,MORGUE
TWIN PEAKS POLICE STATION,9,SHERIFF STATION
TWIN PEAKS SAVINGS AND LOAN,24,BANK
TWIN PEAKS SHERIFF STATION,9,SHERIFF STATION
TWIN PEAKS TOWN HALL,43,MISC INSIDE
WALLY'S,42,WALLY'S BAR
WALLY'S BAR,42,WALLY'S BAR
WINDOM EARLE'S CABIN,35,EARLE CABIN
WOODS,22,WOODS
WOODS CLEARING,22,WOODS
WOODS SECOND CABIN,22,WOODS
WOODS/INT. CAR,22,WOODS
